sentence1,sentence2
Sometimes they would play hockey.,The skating rink was a fun place to play in the winter!
"At the counter, i can't find my wallet.",Customer's at my back stared at me and i felt ashamed.
He first fed his favorite chicken Betty.,Betty was very happy to see him and immediately ate her food.
Her mother swore it was brown.,Her mother decided to use the paint anyway.
"All of a sudden, he got on one knee and proposed.",She was happy and said yes.
She brought them home.,She couldn't help it.
It was the first time they were allowed to go out alone.,Without mom and dad with them they ran from house to house.
The clouds were looking dark and heavy with rain.,"Lightning flashed, and everyone could hear the rumble of thunder."
Bill stood behind Jill and made loud tiger noises.,The noises startled Jill greatly.
Tom's friend led him to an area off center stage.,"There, Tom personally met the members of the band!"
Sometimes he lies to get what he wants.,His younger brothers caught him in a lie and stopped trusting him.
After putting it in the dryer the sweatshirt felt stiff.,I could hardly walk in it.
Horace's bought a straw hat and overalls.,His parents found a place to buy a bunch of raw straw for him.
"When she arrived home, she searched her purse for her keys.",She realized she forgot them and she was locked out!
"Jealous, Morgan tried to trip Hugo.",The teacher's saw this behavior.
He got a special leash for her to keep her safe.,He attached it and she immediately went limp.
All of her friends went to classes with her.,"Once, her birthday was on the same day as the dance class."
She pulled it out quickly and thrust it in a bowl of rice.,"There it sat overnight, until she checked it in the morning."
My wife is retiring from work next week.,Today my son dropped by to say hello.
Finally he finds his other shoe.,Quentin rushes out of the house.
Amy was 60 years old when her company downsized.,She found herself interviewing for the first time in 20 years.
I thought it was odd that they were out so late.,Then I realized they were playing the newest Pokemon Go game.
The guy thought it looked silly.,He called her a raccoon under his breath.
John decided to challenge Jack to a race.,As soon as they started John was already behind.
To make matters worse it raises your cholesterol.,For that reason alone I always avoid salty food.
I bought a new bathroom mat.,My son needed it for his bathtub.
I got an invitation to a New York Mets open tryout.,I attended the tryout at Brooklyn Polytechnic High School.
It fell off the counter and broke.,Jake got sent to his room.
He tried scrubbing it off.,He found out that it was a scratch.
Bradley was a psychiatrist with his own practice.,One of his clients was a famous actress.
Tom tried to break the silence with a joke.,It didn't go over well.
The other team was able to tie the game in the third quarter.,My team scored with five seconds left to win the game!
Because of that he didn't have enough to pay rent.,He was charged a late fee.
"For his birthday, his wife gave him a gift certificate for a manicure.","Robbie didn't really want a manicure, but he went to make her happy."
So he made plans to steal a bike.,But he abandoned the plan at the last second.
They were at the pool and had forgotten their sunscreen.,"When they came home, their skin was all red."
But she forgot her sweater!,She was very chilly as she rode.
I accidently dropped my wallet on an airplane.,The wallet was filled with quite a bit of money.
She cracked an egg and put it into the ramen.,She ate her meal in disgust.
Karl got upset and called the restaurant.,The manager apologized profusely and paid for his meal.
It was a large shark.,Then Matthew realized it was a whale shark.
Tom wanted the lizard out of his apartment.,Tom used his shoe to guide the lizard out through the front door.
The rest wanted to see the action movie.,John was embarrassed because he wanted to see the romance.
Haley received a message from a friend.,He tried to have a conversation with her.
She started to grow vegetables for her family.,She was not sure how well they would do in the poor soil.
Recently he moved from MA to Arizona to find himself.,"A month later, he returned to Boston."
Valerie was cooking hot dogs on the grill.,One of the hot dogs got really burnt.
He stole money from his dad's wallet to buy it.,When his dad found out he was very angry.
"Suddenly, she heard the doorbell.","Her friend, Melissa, stopped by for an unexpected visit."
My husband is a target shooter.,He works at a range.
The boy immediately turned around to talk to Sherry about her hat.,Sherry started wearing brighter colored clothing to school.
"There, she checked the Lost And Found box.","Thankfully, her anklet had been found and turned in."
It had special markings he made on the frame.,Tom was able to prove it was his and get it back.
